iso3,pin,year,Physical,Conflict,Displacement,Complex,severity_max,risk_score,risk_class,vac_share,vuln,climate_vulnerability,ipc_crisis_share,ipc_phase,consecutive_crisis,crisis_class,HRP_funding,HRP_requirements,RRP_requirements,RRP_funding
CRI,0.04,2021,0,0,1,0,1,3.2,Low,85.35,0.35980206130213,resilient,,,4,RC,,,7782642,360001
DJI,0.31,2021,1,0,1,1,4,5,High,15.38,0.47763002197908,vulnerable,0.194197,2,2,RC,,,12150800,4833362
DZA,0,2021,0,0,1,1,3,3.5,Medium,16.72,0.387209304260752,resilient,,,1,C,,,,
ECU,0.42,2021,0,0,1,1,3,4.4,Medium,84.34,0.438539879662541,slightly vulnerable,,,4,RC,,,236466451,70575429
EGY,1.44,2021,0,0,1,1,3,4.7,Medium,44.01,0.439372527949505,slightly vulnerable,,,9,PC,,,,
ERI,2.58,2021,0,1,0,1,3,4.9,Medium,,0.586623081225137,very vulnerable,,,0,"",,,,
ESP,0.12,2021,0,0,1,1,1,2.1,Low,88.11,0.286944195602301,very resilient,,,,,,,,
ETH,23.902819,2021,1,1,1,1,5,6.8,Very High,21.01,0.55817049395349,very vulnerable,7.386291,3,8,PC,1377017980,2444979181,303675959,52550418
FJI,0.01,2021,1,0,0,0,2,2.8,Low,75.9,0.421694334067575,slightly vulnerable,,,0,"",,,,
GRC,0.02,2021,0,0,1,1,3,2.8,Low,76.27,0.318850311043105,very resilient,,,0,"",,,,
GTM,3.8,2021,1,0,1,1,3,5.1,High,44.16,0.449136784948502,vulnerable,2.512223,2,1,C,35157818,56291832,,
HND,3.3,2021,1,0,1,1,4,5.1,High,52.04,0.461282088265434,vulnerable,3.294065,3,1,C,103522360,156228227,,
HTI,5.05,2021,1,0,0,1,5,6,High,1.51,0.529586966234646,very vulnerable,4.355735,3,12,PC,144944119,422890167,,
IDN,0.06,2021,1,1,0,1,3,4.7,Medium,71.97,0.445834039980613,vulnerable,,,0,"",,,,
IND,0,2021,0,1,0,1,,5.4,High,71.79,0.50279680997285,vulnerable,,,0,"",,,,
IRN,3.4,2021,0,0,1,0,4,4.6,Medium,75.58,0.388783716363852,resilient,,,0,"",,,135856299,34025098
IRQ,4.39,2021,1,1,1,1,5,6.6,Very High,25.4,0.435669171425608,slightly vulnerable,,,10,PC,392965265,607196803,,
ITA,0.21,2021,0,0,1,1,1,2.4,Low,84.08,0.313800521031788,very resilient,,,0,"",,,,
JOR,1.46,2021,0,0,1,1,4,4.1,Medium,46.31,0.374988566851631,resilient,,,10,PC,,,,
KEN,3.44,2021,1,1,1,1,3,5.3,High,21.6,0.51779596047152,vulnerable,2.366237,2,14,PC,26874393,139498540,110470849,23397325
LBN,3.21,2021,1,0,1,1,4,4.4,Medium,37.3,0.41166744710448,slightly vulnerable,,,10,PC,124227800,167976726,,
LBY,1.3,2021,0,0,1,1,5,6.3,High,31.82,0.418919658825194,slightly vulnerable,,,7,PC,157809198,189122124,,
LSO,0.58,2021,1,0,0,1,4,4,Medium,36.23,0.458510889206202,vulnerable,0.582169,3,0,"",,,,
MAR,0,2021,0,0,1,1,,3.5,Medium,66.67,0.37727639616599,resilient,,,1,C,,,,
MDG,1.59,2021,1,0,0,1,4,5.3,High,4.17,0.545524785286395,very vulnerable,1.348769,3,1,C,126856583,166188813,,
MEX,0,2021,1,1,1,1,1,5,High,65.84,0.403547364723798,slightly vulnerable,,,4,RC,,,5702718,30000
MLI,5.917269,2021,0,1,1,1,4,7,Very High,6.62,0.597628097991258,very vulnerable,0.954935,1,18,PC,216971654,563286869,,
MMR,3.7,2021,1,1,0,1,4,6.3,High,54.02,0.537252613995775,very vulnerable,,,9,PC,256227905,385617765,0,4
MOZ,4.11,2021,1,1,1,1,4,7.1,Very High,44.52,0.513030464591059,vulnerable,1.651249,2,3,RC,223331365,254080356,,
MRT,0.09,2021,1,0,1,1,3,5.2,High,32.67,0.558400738749377,very vulnerable,0.409535,2,1,C,,,,
MWI,2.64,2021,1,0,0,1,3,4.7,Medium,7.99,0.547513576537147,very vulnerable,2.64254,2,0,"",,,,
MYS,0.18,2021,0,0,1,0,1,3,Low,84.56,0.368239193766313,resilient,,,0,"",,,,
NAM,0.75,2021,0,0,0,1,3,3.9,Medium,17.52,0.469830680855719,vulnerable,,,0,"",,,,
NER,3.821659,2021,1,1,1,1,3,7.4,Very High,8.71,0.676519382292042,very vulnerable,1.731304,2,17,PC,269366505,523063280,,
NGA,16.37,2021,0,1,1,1,4,6.5,Very High,10.68,0.492881125652429,vulnerable,12.960977,2,8,PC,724538353,1005897038,,
NIC,0,2021,1,0,0,1,2,4.6,Medium,83.62,0.445134906177536,slightly vulnerable,,,0,"",,,,
NPL,4.9,,,,,,,4.7,Medium,74.82,0.509856999680929,vulnerable,,,1,C,7384444,83621252,,
PAK,11,2021,0,1,0,1,2,6.1,High,59.56,0.518371678546019,vulnerable,4.685888,3,6,PC,342473082,332043165,132560000,51783885
PER,1.31,2021,0,0,1,1,3,4.6,Medium,87.03,0.43797173514576,slightly vulnerable,,,5,PC,,,274663651,94692331
PHL,2.52,2021,1,1,0,1,3,5.5,High,63.19,0.462078295183088,vulnerable,,,0,"",,,,
PRK,10.43,2021,0,0,0,1,4,4.8,Medium,,0.483261446383265,vulnerable,,,0,"",,,,
PSE,3.81,2021,0,1,0,0,5,5.1,High,38.32,,,,,19,PC,436310800,512629398,,
RWA,0.14,2021,1,0,1,1,1,4,Medium,67.16,0.565902737523551,very vulnerable,,,7,PC,,,120438510,33238965
SDN,14.3,2021,1,1,1,1,5,6.7,Very High,13.14,0.614840261418446,very vulnerable,5.956009,2,22,PC,732353125,1939730880,305501814,64283606
SEN,0.51,2021,1,0,0,0,2,4.2,Medium,8.47,0.526792155182458,very vulnerable,0.849695,2,0,"",,,,
SLV,1.7,2021,0,0,0,1,3,4.4,Medium,70.45,0.441713927506467,slightly vulnerable,1.043661,2,1,C,22157073,42156698,,
SOM,7.74,2021,1,1,1,1,4,8.8,Very High,12.43,0.676129752264291,very vulnerable,3.46569,2,22,PC,849699198,1092121872,30410180,0
SSD,8.310533,2021,1,1,1,1,4,8.5,Very High,5.24,,,7.189,4,11,PC,1156010621,1677772788,,
SWZ,0.37,2021,0,0,0,1,4,3.4,Low,33.05,0.511687422921734,vulnerable,0.36626,3,0,"",,,,
SYR,13.4,2021,1,1,1,1,5,7.1,Very High,13.34,0.460870525177594,vulnerable,,,10,PC,2119415725,4224416702,,
TCD,6.4,2021,1,1,1,1,5,7.8,Very High,12.77,0.621749327859286,very vulnerable,1.148995,1,18,PC,214294799,617522407,,
THA,0.09,2021,0,1,1,1,3,3.7,Medium,80.03,0.419051601082963,slightly vulnerable,,,0,"",,,,
TLS,0.01,2021,1,0,0,0,1,3.9,Medium,57.64,0.49902398778167,vulnerable,,,0,"",,,,
TTO,0.06,2021,0,0,1,1,1,2.6,Low,53.25,0.357037266859425,resilient,,,3,RC,,,15720054,5540684
TUN,0,2021,0,0,1,1,,3,Low,60.15,0.382299988073605,resilient,,,0,"",,,,
TUR,2.42,2021,0,1,1,1,3,4.9,Medium,67.98,0.34810691123594,very resilient,,,10,PC,,,,
TZA,0.29,2021,0,0,1,1,2,5.1,High,6.41,0.519737847851523,very vulnerable,0.48867,2,8,PC,,,206718489,53704360
UGA,1.53,2021,1,1,1,1,3,5.8,High,32.53,0.581164790526895,very vulnerable,0.187655,2,8,PC,,,767364443,161993426
UKR,3.4,2021,0,1,0,0,4,4.5,Medium,36.29,0.368346142887824,resilient,,,8,PC,108397827,167982922,,
VCT,0.01,2021,1,0,0,0,3,2.2,Low,32.5,,,,,,,,,,
VEN,14.8,2021,1,1,0,1,3,4.4,Medium,77.19,0.38796901057696,resilient,,,4,RC,279294195,708098081,,
VNM,1,2021,1,0,0,0,3,3.6,Medium,81.44,0.479539844757494,vulnerable,,,,,,,,
VUT,0.12,2021,1,0,0,0,3,4.4,Medium,42.28,0.540900355234955,very vulnerable,,,0,"",,,,
YEM,24.16,2021,1,1,1,1,5,8.2,Very High,2.13,0.556051500698452,very vulnerable,16.147,3,14,PC,2425347763,3853456397,0,9090712
ZMB,1.68,2021,1,0,0,1,3,4.3,Medium,14.96,0.517449742969221,vulnerable,1.575154,2,4,RC,,,74681142,12888063
ZWE,7,2021,1,0,1,1,4,4.7,Medium,38.62,0.518014088645414,vulnerable,3.380232,3,3,RC,95681940,506769226,,
