Donor,Year,GNI_USD
Luxembourg,2018,48715.37789
Netherlands,2018,929798.551067
New Zealand,2018,191271.56018
Norway,2018,375223.5821
Portugal,2018,232242.921781
Spain,2018,1409858.59227
Sweden,2018,550122.916039
Switzerland,2018,730595.16837
United Kingdom,2018,2896351.52239
United States,2018,21430568.457675
"Non-DAC Countries, Total",2018,4266216.131928
Bulgaria,2018,62523.393222
Chinese Taipei,2018,594239.377901
Cyprus,2018,21058.766354
Czech Republic,2018,235207.126425
Estonia,2018,29929.421962
Hungary,2018,132890.203491
Iceland,2018,22485.247345
Israel,2018,397065.688885
Latvia,2018,33458.826515
Liechtenstein,2018,7111.942731
Lithuania,2018,53767.481629
Malta,2018,13408.295006
Poland,2018,560496.505086
Romania,2018,235730.390362
Slovak Republic,2018,106200.226106
Slovenia,2018,53457.148232
Thailand,2018,475615.911926
Turkey,2018,707076.581415
United Arab Emirates,2018,419473.882713
Croatia,2018,59364.027351
"G7 Countries, Total",2018,40382471.880385
Kazakhstan,2018,149651.468525
Azerbaijan,2018,44839.541285
Kuwait,2018,161850.012184
Saudi Arabia,2018,800051.121962
Qatar,2018,
"DAC EU Members + EC, Total",2018,15373567.118635
"DAC EU Members, Total",2018,15373567.118635
"DAC Countries, Total",2019,52076470.513069
Australia,2019,1344779.12846
Austria,2019,464282.868766
Belgium,2019,547962.132167
Canada,2019,1714382.75172
Denmark,2019,371541.658514
Finland,2019,279636.131416
France,2019,2889747.778867
Germany,2019,4092169.943475
Greece,2019,211940.858904
Ireland,2019,309949.867114
Italy,2019,2078682.672598
Japan,2019,5506567.824883
Korea,2019,1658297.094634
Luxembourg,2019,48402.928365
Netherlands,2019,939006.403208
New Zealand,2019,202292.755117
Norway,2019,377390.990042
Portugal,2019,247798.388225
Spain,2019,1450287.849363
Sweden,2019,567656.513276
Switzerland,2019,742620.559214
United Kingdom,2019,2929771.57392
United States,2019,21951422.194113
"Non-DAC Countries, Total",2019,4573585.759021
Bulgaria,2019,70455.547073
Chinese Taipei,2019,643229.053485
Cyprus,2019,21775.590162
Czech Republic,2019,242817.671439
Estonia,2019,31152.943998
Hungary,2019,146941.303289
Iceland,2019,23091.685277
Israel,2019,410456.535414
Latvia,2019,34193.963685
Liechtenstein,2019,
Lithuania,2019,54534.454573
Malta,2019,13877.839458
Poland,2019,574107.851467
Romania,2019,253389.619802
Slovak Republic,2019,108249.889439
Slovenia,2019,54671.245797
Thailand,2019,484874.476829
Turkey,2019,700051.19669
United Arab Emirates,2019,419290.018848
Croatia,2019,62123.569201
"G7 Countries, Total",2019,41162744.739576
Kazakhstan,2019,162246.352554
Azerbaijan,2019,44843.872508
Kuwait,2019,165000.661279
Saudi Arabia,2019,818072.176691
Qatar,2019,184017.886771
"DAC EU Members + EC, Total",2019,15625853.955689
"DAC EU Members, Total",2019,15625853.955689
"DAC Countries, Total",2020,49803873.27
Australia,2020,1340301.34
Austria,2020,429589.64
Belgium,2020,489970.37
Canada,2020,1626367.43
Denmark,2020,368470.65
Finland,2020,273321.94
France,2020,2665742.45
Germany,2020,3910153.85
Greece,2020,188096.59
Ireland,2020,323344.73
Italy,2020,1901602.28
Japan,2020,5223483.17
Korea,2020,1650686.22
Luxembourg,2020,43897.44
Netherlands,2020,904693.22
New Zealand,2020,203706.2
Norway,2020,378299.62
Portugal,2020,224419.51
Spain,2020,1284116.24
Sweden,2020,557429.23
Switzerland,2020,725163.55
United Kingdom,2020,2659843.53
United States,2020,21286637
"Non-DAC Countries, Total",2020,4363070.342
Bulgaria,2020,66500
Chinese Taipei,2020,686205
Cyprus,2020,25857.51
Czech Republic,2020,236768.98
Estonia,2020,30124.51
Hungary,2020,154300.11
Iceland,2020,21533.8
Israel,2020,398280.85
Latvia,2020,33151.77
Liechtenstein,2020,
Lithuania,2020,54183.07
Malta,2020,13299.15
Poland,2020,577343.44
Romania,2020,244641.132
Slovak Republic,2020,102543.63
Slovenia,2020,52047.11
Thailand,2020,487771
Turkey,2020,711418
United Arab Emirates,2020,355440.29
Croatia,2020,58753
"G7 Countries, Total",2020,39273829.71
Kazakhstan,2020,155990.95
Azerbaijan,2020,42150.9
Kuwait,2020,140431.09
Saudi Arabia,2020,715551
Qatar,2020,143321.12
"DAC EU Members + EC, Total",2020,14687851.41
"DAC EU Members, Total",2020,14687851.41
"DAC Countries, Total",2021,52048945.675542
Australia,2021,1391619.128653
Austria,2021,451184.999299
Belgium,2021,519334.326782
Canada,2021,1710491.291968
Denmark,2021,387174.047357
Finland,2021,285428.949234
France,2021,2851845.218807
Germany,2021,4068312.944081
Greece,2021,203542.64689
Ireland,2021,360195.817765
Italy,2021,2026237.162223
Japan,2021,5304316.830724
Korea,2021,1730859.242924
Luxembourg,2021,50290.211255
Netherlands,2021,950127.145904
New Zealand,2021,213473.721185
Norway,2021,400309.806611
Portugal,2021,235920.828471
Spain,2021,1343661.183014
Sweden,2021,583766.666191
Switzerland,2021,744934.531694
United Kingdom,2021,2932899.217729
United States,2021,22114866.274224
"Non-DAC Countries, Total",2021,
Bulgaria,2021,71349.746497
Chinese Taipei,2021,746255.976392
Cyprus,2021,
Czech Republic,2021,242074.737819
Estonia,2021,34942.649918
Hungary,2021,145249.36392
Iceland,2021,23303.453102
Israel,2021,463389.139261
Latvia,2021,36221.237428
Liechtenstein,2021,
Lithuania,2021,60451.781535
Malta,2021,
Poland,2021,613382.95588
Romania,2021,264969.512301
Slovak Republic,2021,106840.041651
Slovenia,2021,57302.930185
Thailand,2021,
Turkey,2021,650719.381197
United Arab Emirates,2021,349337.714642
Croatia,2021,61296.71842
"G7 Countries, Total",2021,41008968.939756
Kazakhstan,2021,
Azerbaijan,2021,
Kuwait,2021,
Saudi Arabia,2021,676216.986165
Qatar,2021,
"DAC EU Members + EC, Total",2021,15481872.176728
"DAC EU Members, Total",2021,15481872.176728
